00580672 2 7 1947 2016 98-29-47662 Deviny Kai Y
00918825 7 7 1944 2015 98-86-81684 James  Ayla M
00752717 1 10 1941 2021 98-75-67805 Torres  Gavin A
00983973 3 23 1952 2015 98-32-17006 Mitchell Griffin A
00147423 12 6 1953 2019 98-68-23786 Garcia  Madison H
00344822 10 25 1945 2017 98-39-69999 Ross  Wyatt P
00801000 5 24 1955 2015 98-55-18676 Nguyen Nate D
00434749 12 15 1950 2022 98-27-04361 Robinson  Julia C
00161723 8 18 1942 2017 98-38-68126 Anderson Michael R
00802730 8 1 1956 2020 98-43-67867 Lee  Logan F
00979039 9 5 1941 2023 98-30-68402 Adams  Taylor K
